census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,pop_urban_commune,pop_european_total,share_european,share_french,share_italian,share_maltese,share_jewish,share_muslim,ratio_italian_to_french,urbanization_rate,sex_ratio,persons_per_household,pop_density,log_pop_total,log_pop_density,ethno_fractionalization
1946,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,62349,58995,1396,1077,782,68,31,31923,30426,12225,22268,1958,0.0314,0.01727,0.01254,0.00109,0.02239,0.94621,0.7261,0.35715,1.0492,5.1,13.27,11.0405,2.5852,0.1037
1956,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,73003,69236,1412,1295,943,83,34,37377,35626,14314,26072,2355,0.03226,0.01774,0.01292,0.00114,0.01934,0.9484,0.7282,0.35714,1.0491,5.1,15.53,11.1983,2.7429,0.0997
1921,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,216466,136928,17922,29372,28134,2878,1232,110830,105636,42446,170287,61616,0.28465,0.13569,0.12997,0.0133,0.08279,0.63256,0.9579,0.78667,1.0492,5.1,618.47,12.2852,6.4273,0.5575
1926,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,223265,134253,18486,33619,32201,3292,1414,114311,108954,43776,175635,70526,0.31588,0.15058,0.14423,0.01474,0.0828,0.60132,0.9578,0.78667,1.0492,5.1,637.9,12.3161,6.4582,0.5878
1931,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,249210,140335,20635,42063,40291,4120,1766,127596,121614,48866,196045,88240,0.35408,0.16879,0.16167,0.01653,0.0828,0.56312,0.9579,0.78667,1.0492,5.1,712.03,12.4261,6.5681,0.6211
1936,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,269640,141185,24559,49526,47440,4851,2079,138055,131585,52871,212117,103896,0.38531,0.18367,0.17594,0.01799,0.09108,0.52361,0.9579,0.78667,1.0492,5.1,770.4,12.5048,6.6469,0.6525
1946,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,334007,168736,30423,64235,61585,6319,2709,171011,162996,65492,262752,134848,0.40373,0.19232,0.18438,0.01892,0.09108,0.50519,0.9587,0.78667,1.0492,5.1,954.31,12.7189,6.861,0.6651
1956,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,391092,194632,30764,78892,75685,7784,3335,200240,190852,76684,307659,165696,0.42368,0.20172,0.19352,0.0199,0.07866,0.49766,0.9593,0.78667,1.0492,5.1,1117.41,12.8767,7.0188,0.6675
1921,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,36077,34144,182,942,714,66,29,18471,17606,7074,4329,1751,0.04854,0.02611,0.01979,0.00183,0.00504,0.94642,0.758,0.11999,1.0491,5.1,13.12,10.4934,2.5741,0.1032
1926,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,37210,35018,187,1079,818,76,32,19051,18159,7296,4465,2005,0.05388,0.029,0.02198,0.00204,0.00503,0.94109,0.7581,0.11999,1.0491,5.1,13.53,10.5243,2.605,0.113
1931,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,41535,38817,210,1349,1023,95,41,21266,20269,8144,4984,2508,0.06038,0.03248,0.02463,0.00229,0.00506,0.93456,0.7583,0.12,1.0492,5.1,15.1,10.6343,2.7149,0.1249
1936,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,44940,41737,250,1588,1205,111,49,23009,21931,8811,5393,2953,0.06571,0.03534,0.02681,0.00247,0.00556,0.92873,0.7588,0.12,1.0492,5.1,16.34,10.7131,2.7937,0.1355
1946,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,55668,51921,309,1844,1407,131,56,28502,27166,10915,6680,3438,0.06176,0.03312,0.02527,0.00235,0.00555,0.93269,0.763,0.12,1.0492,5.1,20.24,10.9272,3.0078,0.1283
1956,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,65182,60964,312,2089,1602,150,65,33373,31809,12781,7822,3906,0.05992,0.03205,0.02458,0.0023,0.00479,0.93529,0.7669,0.12,1.0492,5.1,23.7,11.0849,3.1656,0.1236
